Article Title	link	Primeira fase - Leitura de títulos<br>**Critério de exclusão de títulos** = *Não tem conversação (NTC)*	Segunda fase - Leitura de abstracts<br>**Critério de exclusão** = *Não tem BDI ou não é embarcado*
Controlled Yet Natural: A Hybrid BDI-LLM Conversational Agent for Child Helpline Training	https://www.scopus.com/pages/publications/105021367716?origin=resultslist	! - OPAAAAAA	
~~Does Pharmacological Adjustment Influence the Outcomes of In-Patient Multimodal Intensive Care? A Study in Patients with Moderately Advanced Parkinson’s Disease~~	https://www.scopus.com/pages/publications/105014440308?origin=resultslist	X - NTC	-
Integrating Belief-Desire-Intention agents with large language models for reliable human–robot interaction and explainable Artificial Intelligence	https://www.scopus.com/pages/publications/85211705554?origin=resultslist	! - OPAAAAA	
~~Dynamic plan generation with LLMs: automatic execution of abstract BDI-agent goals~~	https://www.scopus.com/pages/publications/105013387425?origin=resultslist	X - NTC	-
ChatBDI: Think BDI, Talk LLM	https://www.scopus.com/pages/publications/105009800876?origin=resultslist	! - OPAAAAA	
~~Planless Agents: BDI Plan Generation Using LLMs~~	https://www.scopus.com/pages/publications/105018703753?origin=resultslist	X - NTC	-
~~Transformer Ensembles and LLM-Powered Approaches for Depression Symptom Analysis and Contextualized Early Risk Detection~~	https://www.scopus.com/pages/publications/105019039123?origin=resultslist	X - NTC	-
MindWell: A Conversational Agent for Professional Depression Screening on Social Media	https://www.scopus.com/pages/publications/105006474278?origin=resultslist	!	
International Workshops on Practical Applications of Agents and Multi-Agent Systems, PAAMS 2024	https://www.scopus.com/pages/publications/85216128602?origin=resultslist	!	
DS@GT at eRisk 2025: From Prompts to Predictions, Benchmarking Early Depression Detection with Conversational Agent-Based Assessments and Temporal Attention Models	https://www.scopus.com/pages/publications/105019062632?origin=resultslist	!	
Detection of Depression with Symptom Similarity: Data Reduction and LLM Personas	https://www.scopus.com/pages/publications/105019049328?origin=resultslist	!	
22nd International Conference on Practical Applications of Agents and Multi-Agent Systems, PAAMS 2024	https://www.scopus.com/pages/publications/85210432923?origin=resultslist	! - Conference	
~~Overview of eRisk at CLEF 2025: Early Risk Prediction on the Internet (Extended Overview)~~	https://www.scopus.com/pages/publications/105019055195?origin=resultslist	X - NTC	-
The A-BDI Metamodel for Human-Level AI: Argumentation as Balancing, Dialogue and Inference	https://www.scopus.com/pages/publications/105008972426?origin=**resultslist	! - HMMMMM	
17th International Symposium on Intelligent Distributed Computing, IDC 2024	https://www.scopus.com/pages/publications/105018708503?origin=resultslist	! - Conference	
~~ZENMIND: A Machine Learning Powered Depression Diagnosis and Treatment Recommendation System~~	https://www.scopus.com/pages/publications/105008945340?origin=resultslist	X - NTC	-
~~SONAR: An Adaptive Control Architecture for Social Norm Aware Robots~~	https://www.scopus.com/pages/publications/85205583334?origin=resultslist	X - NTC	-
BDI Agents in Natural Language Environments	https://www.scopus.com/pages/publications/85196402620?origin=resultslist	!  -OPAAAAAA	
Cloud-Based Large Language Models for Enhancing BDIx Agents' Decision-Making in Network Control Emergencies	https://www.scopus.com/pages/publications/105002834083?origin=resultslist	! - HMMMMM	
AIWolfDial 2024 - 2nd International AIWolfDial Workshop, held in conjunction with the 17th International Natural Language Generation Conference - Proceedings of the Workshop	https://www.scopus.com/pages/publications/85216949204?origin=resultslist	! - Conference	
~~NegotiationToM: A Benchmark for Stress-testing Machine Theory of Mind on Negotiation Surrounding~~	https://www.scopus.com/pages/publications/85213737834?origin=resultslist	X - NTC	-
Exploring Text-Generating Large Language Models (LLMs) for Emotion Recognition in Affective Intelligent Agents	https://www.scopus.com/pages/publications/85190380161?origin=resultslist	!	
CLPsych 2024 - 9th Workshop on Computational Linguistics and Clinical Psychology, Proceedings of the Workshop	https://www.scopus.com/pages/publications/85189795606?origin=resultslist	!  - Conference	
Verification of Reasoning Ability using BDI Logic and Large Language Model in AIWolf	https://www.scopus.com/pages/publications/85216931759?origin=resultslist	! - HMMMM	
Depression Therapy Chat-Bot using Natural Language Processing	https://www.scopus.com/pages/publications/85178388862?origin=resultslist	!	
~~Voice Acoustic Parameters as Predictors of Depression~~	https://www.scopus.com/pages/publications/85111816128?origin=resultslist	X - NTC	-
CILC 2024 - Proceedings of the 39th Italian Conference on Computational Logic	https://www.scopus.com/pages/publications/85200109089?origin=resultslist	! - Conference	
Proceedings of the 20th European Conference on Multi-Agent Systems, EUMAS 2023	https://www.scopus.com/pages/publications/85172032229?origin=resultslist	! - Conference	
Proceedings of the 5th International Workshop on EXTRAAMAS 2023	https://www.scopus.com/pages/publications/85172231845?origin=resultslist	! - Conference	
Changing users’ health behaviour intentions through an embodied conversational agent delivering explanations based on users’ beliefs and goals	https://www.scopus.com/pages/publications/85130163196?origin=resultslist	!	
15th International Symposium on NASA Formal Methods, NFM 2023	https://www.scopus.com/pages/publications/85164033821?origin=resultslist	! - Conference	
BDI logic applied to a dialogical interpretation of human-machine cooperative dialogues	https://www.scopus.com/pages/publications/85127008953?origin=resultslist	!	
19th International Conference on Practical Applications of Agents and Multi-Agent Systems, PAAMS 2021	https://www.scopus.com/pages/publications/85116324806?origin=resultslist	! - Conference	
~~On the optimized utilization of smart contracts in DLTs from the perspective of legal representation and legal reasoning~~	https://www.scopus.com/pages/publications/85084582605?origin=resultslist	X - NTC	-
~~Computational Framework for Verifiable Decisions of Self-Driving Vehicles~~	https://www.scopus.com/pages/publications/85056896346?origin=resultslist	X - NTC	-
A Human-Robot-Environment Interactive Reasoning Mechanism for Object Sorting Robot	https://www.scopus.com/pages/publications/85053434129?origin=resultslist	!	
Agent-based system for context-aware human-computer interaction	https://www.scopus.com/pages/publications/85048242884?origin=resultslist	!	
A python-based assistant agent able to interact with natural language	https://www.scopus.com/pages/publications/85054330693?origin=resultslist	!	
~~A RGB-D sensor and speech interaction based object manipulation system with improved CBR-BDI reasoning~~	https://www.scopus.com/pages/publications/85028315964?origin=resultslist	X - NTC	-
Improving conversation engagement through data-driven agent behavior modification	https://www.scopus.com/pages/publications/84969920082?origin=resultslist	!	
Task-oriented conversational behavior of agents for collaboration in human-agent teamwork	https://www.scopus.com/pages/publications/84901634319?origin=resultslist	! - OPAAAAAA	
The C2BDI agent architecture for teamwork coordination using spoken dialogues between virtual agents and users	https://www.scopus.com/pages/publications/84901587380?origin=resultslist	! - OPAAAAA	
Natural language programming of complex robotic BDI agents	https://www.scopus.com/pages/publications/84880214130?origin=resultslist	! - Muito foda	
Conversational Agents as Full-Pledged BDI Agents for Ambient Intelligence	https://www.scopus.com/pages/publications/84883046107?origin=resultslist	!	
4th International Symposium on Ambient Intelligence, ISAmI 2013	https://www.scopus.com/pages/publications/84947197652?origin=resultslist	! - Conference	
A BDI dialogue agent for social support: Specification and evaluation method	https://www.scopus.com/pages/publications/84874800985?origin=resultslist	!	
Multiagent System Technologies - 10th German Conference, MATES 2012, Proceedings	https://www.scopus.com/pages/publications/84868326180?origin=resultslist	! - Conference	
Applying electronic contracting to the aerospace aftercare domain	https://www.scopus.com/pages/publications/84866736370?origin=resultslist	!	
Flexible conversation management using a BDI agent approach	https://www.scopus.com/pages/publications/84867507338?origin=resultslist	!	
~~An open source architecture for building interactive dramas~~	https://www.scopus.com/pages/publications/84872071344?origin=resultslist	X - NTC	-
8th International Conference on Practical Applications of Agents and Multiagent Systems, PAAMS 2010	https://www.scopus.com/pages/publications/84980564839?origin=resultslist	! - Conference	
~~Implementing social norms using policies~~	https://www.scopus.com/pages/publications/70849105381?origin=resultslist	X - NTC	-
~~Using semantics in INES, an intelligent educational system~~	https://www.scopus.com/pages/publications/77951455491?origin=resultslist	X - NTC	-
Intelligent Virtual Agents - 9th International Conference, IVA 2009, Proceedings	https://www.scopus.com/pages/publications/70350778549?origin=resultslist	! - Conference	
The smart personal assistant: An overview	https://www.scopus.com/pages/publications/37349014100?origin=resultslist	!	
~~Correlates of self-harm behaviour in acutely ill patients with schizophrenia~~	https://www.scopus.com/pages/publications/33947684394?origin=resultslist	X - NTC	-
An adaptive plan-based dialogue agent: Integrating learning into a BDI architecture	https://www.scopus.com/pages/publications/34247242224?origin=resultslist	!	
Agent Computing and Multi-Agent Systems: 9th Pacific Rim International Workshop on Multi-Agents, PRIMA 2006, Proceedings	https://www.scopus.com/pages/publications/84941154898?origin=resultslist	! - Conference	
A BDI agent architecture for dialogue modelling and coordination in a smart personal assistant	https://www.scopus.com/pages/publications/33846334484?origin=resultslist	!	
~~Understanding intelligent agents: Analysis and synthesis~~	https://www.scopus.com/pages/publications/0346907023?origin=resultslist	X - NTC	-
Design of rational agents for performing speech acts intentionally in multiagent environment	https://www.scopus.com/pages/publications/0037702966?origin=resultslist	!	
4th InternationalWorkshop on Intelligent Virtual Agents 2003	https://www.scopus.com/pages/publications/84949230900?origin=resultslist	! - Conference	
Conversational agent who achieves tasks while interacting with humans based on scenarios	https://www.scopus.com/pages/publications/84881096771?origin=resultslist	!	
~~Embodied contextual agent in Information Delivering application~~	https://www.scopus.com/pages/publications/0036355535?origin=resultslist	X - NTC	-
Dialogue modelling for a conversational agent	https://www.scopus.com/pages/publications/84944879955?origin=resultslist	!	
A BDI dialogue agent for social support: specification of verbal support types		!	
A BDI Game Master Agent for Computer Role-Playing Games		!	
A BDI Task-oriented Agent in Belief Space		X - NTC	-
A Behaviour-Driven Approach for Testing Requirements via User and System Stories in Agent Systems		!	
Abstract task specifications for conversation policies		!	
A chat interface for human-agent interaction in MAST		!	
A Cloud-based Robot System for Long-term Interaction: Principles, Implementation, Lessons Learned		X - NTC	-
A cognitively based approach to affect sensing from text		X - NTC	-
A cognitive model of interaction for software agents		!	
A cognitive robotics approach to comprehending human language and behaviors		!	
A combined Ratio-Emotional Architecture to Model Agent Behavior in Emergency Situation		X - NTC	-
A computational model of human interaction and planning for heterogeneous multi-agent systems		!	
A computational semantics for natural language		!	
Active mental entities: a new approach to building intelligent autonomous agents		X - NTC	-
Adaptive emotional expression in robot-child interaction		!	
Adding a collaborative agent to graphical user interfaces		X - NTC	-
Adding agent concepts to object event modeling and simulation		X - NTC	-
A decision network framework for the behavioral animation of virtual humans		X - NTC	-
Affect and Interaction in Agent-Based Systems and Social Media: Guest Editors’ Introduction		X - NTC	-
A flexible platform for building applications with life-like characters		X - NTC	-
A formal framework for reasoning about goal interactions	[link](https://www.researchgate.net/publication/221455387_A_formal_framework_for_reasoning_about_goal_interactions)	X - NTC	-
A framework for the server-side management of conversations with web services		!	
Agent-based museum and tour guides: applying the state of the art		X - NTC	-
Agent-based simulation for large-scale emergency response: A survey of usage and implementation		X - NTC	-
Agent-based simulation of shuttle mission operations		X - NTC	-
Agent-Based Virtual Humans in Co-Space: An Evaluative Study		!	
